accepted,gate,innovation_std,measurement_time_s,nis,residual_0,residual_1,residual_2,residual_norm,sensor_is_dropout,sensor_is_outlier,source,stale_s,time_s
1.0,35.0,8.791791626284144,0.0,0.9457756597460194,-1.3522869859131923,1.106380807190388,1.8452093085948604,2.541172165618568,0.0,0.0,gps_range_bearing_altitude,0.0,0.0
1.0,35.0,1.694718208829134,0.0,3.891456721152525,-3.343132566229002,,,3.343132566229002,0.0,0.0,barometer_altitude,0.0,0.0
1.0,35.0,0.9331575455597527,0.2,1.108399345316716,-0.9824333628659758,,,0.9824333628659758,0.0,0.0,barometer_altitude,0.0,0.2
1.0,35.0,0.8927454540482946,0.4,7.578820730676904,2.457697708727949,,,2.457697708727949,0.0,0.0,barometer_altitude,0.0,0.4
1.0,35.0,0.7758243825623012,0.6,3.719878905481645,-1.4963315243553836,,,1.4963315243553836,0.0,0.0,barometer_altitude,0.0,0.6
1.0,35.0,0.6968418236789661,0.8,0.6909149328217395,-0.5792239330940134,,,0.5792239330940134,0.0,0.0,barometer_altitude,0.0,0.8
1.0,35.0,4.553274297777632,1.0,7.084781126273331,-6.698819555711257,-0.15893664595937596,3.365929963780502,7.498595122986958,0.0,0.0,gps_range_bearing_altitude,0.0,1.0
1.0,35.0,0.6356682047837091,1.0,0.5035659884192277,-0.45108530981221406,,,0.45108530981221406,0.0,0.0,barometer_altitude,0.0,1.0
1.0,35.0,0.6106242159445456,1.2,0.2636011443744146,-0.313507308141709,,,0.313507308141709,0.0,0.0,barometer_altitude,0.0,1.2
1.0,35.0,0.5923027293567407,1.4,0.002706709597597596,-0.0308151698130672,,,0.0308151698130672,0.0,0.0,barometer_altitude,0.0,1.4
1.0,35.0,0.5797307636391232,1.6,0.34817231012978367,0.34207667447078904,,,0.34207667447078904,0.0,0.0,barometer_altitude,0.0,1.6
1.0,35.0,0.5717369411826118,1.8,5.012736266121822,1.280069888755122,,,1.280069888755122,0.0,0.0,barometer_altitude,0.0,1.8
1.0,35.0,4.037935493536788,2.0,5.28086644368018,2.7354878663540845,0.11335022924770044,-3.2839151934535806,4.275493087263292,0.0,0.0,gps_range_bearing_altitude,0.0,2.0
1.0,35.0,0.5630511065137276,2.0,0.34799727551406623,-0.3321511330098872,,,0.3321511330098872,0.0,0.0,barometer_altitude,0.0,2.0
1.0,35.0,0.5626298680117809,2.2,0.4496870192980742,-0.37729231503978156,,,0.37729231503978156,0.0,0.0,barometer_altitude,0.0,2.2
1.0,35.0,0.5630998384736128,2.4,0.010824508222631259,-0.05858541222517033,,,0.05858541222517033,0.0,0.0,barometer_altitude,0.0,2.4
1.0,35.0,0.5637080952376257,2.6,0.9900915468567214,-0.5609084051993705,,,0.5609084051993705,0.0,0.0,barometer_altitude,0.0,2.6
1.0,35.0,0.5638767443610269,2.8,0.9118230895021934,-0.5384426788562848,,,0.5384426788562848,0.0,0.0,barometer_altitude,0.0,2.8
1.0,35.0,3.531686626943753,3.0,9.927236174870387,6.325559207574813,0.11832418764647956,2.1699775659951257,6.688460401231275,0.0,0.0,gps_range_bearing_altitude,0.0,3.0
1.0,35.0,0.5593814279171321,3.0,0.04561070544405046,0.11946520643763847,,,0.11946520643763847,0.0,0.0,barometer_altitude,0.0,3.0
1.0,35.0,0.5594221171042305,3.2,2.7790087220916635,0.932576757534477,,,0.932576757534477,0.0,0.0,barometer_altitude,0.0,3.2
1.0,35.0,0.5582549332193363,3.4,0.030719411344770697,-0.09784508485910237,,,0.09784508485910237,0.0,0.0,barometer_altitude,0.0,3.4
1.0,35.0,0.5561587356637466,3.6,1.0442895653407125,0.5683413210150547,,,0.5683413210150547,0.0,0.0,barometer_altitude,0.0,3.6
1.0,35.0,0.5534256934010914,3.8,4.2821386138161035,1.1452219900849343,,,1.1452219900849343,0.0,0.0,barometer_altitude,0.0,3.8
1.0,35.0,3.3174581561001726,4.0,0.3163611684482522,0.012165830366697605,-0.01941822846256791,0.3492477583182989,0.3499986738767629,0.0,0.0,gps_range_bearing_altitude,0.0,4.0
1.0,35.0,0.5472390391800005,4.0,0.14426443317890186,-0.20785319689179005,,,0.20785319689179005,0.0,0.0,barometer_altitude,0.0,4.0
1.0,35.0,0.5450084525850818,4.2,0.9464233013608155,-0.5302076016551496,,,0.5302076016551496,0.0,0.0,barometer_altitude,0.0,4.2
1.0,35.0,0.5423645220943052,4.4,0.17961999321709227,0.22986275676824164,,,0.22986275676824164,0.0,0.0,barometer_altitude,0.0,4.4
1.0,35.0,0.5395052110726166,4.6,9.233848725559707,-1.6394078926163616,,,1.6394078926163616,0.0,0.0,barometer_altitude,0.0,4.6
1.0,35.0,0.5365680948608683,4.8,3.0926107457785754,-0.9435990078978591,,,0.9435990078978591,0.0,0.0,barometer_altitude,0.0,4.8
1.0,35.0,3.253310057324308,5.0,4.906389795219073,-5.218755541446313,-0.010555775633753761,1.8821578002916226,5.547795851594977,0.0,0.0,gps_range_bearing_altitude,0.0,5.0
1.0,35.0,0.5315057245702541,5.0,5.818993266048203e-05,-0.004054449297370866,,,0.004054449297370866,0.0,0.0,barometer_altitude,0.0,5.0
1.0,35.0,0.5293182214434399,5.2,1.7259221901327433,0.695388414421032,,,0.695388414421032,0.0,0.0,barometer_altitude,0.0,5.2
1.0,35.0,0.5270354887415829,5.4,0.003582689429289622,-0.03154601033405413,,,0.03154601033405413,0.0,0.0,barometer_altitude,0.0,5.4
1.0,35.0,0.5247322216294632,5.6,1.0798897410757002,-0.5452898840495521,,,0.5452898840495521,0.0,0.0,barometer_altitude,0.0,5.6
1.0,35.0,0.5224578641397409,5.8,0.8565140186913672,-0.48352452660962797,,,0.48352452660962797,0.0,0.0,barometer_altitude,0.0,5.8
1.0,35.0,3.244280173283255,6.0,4.667113309767568,1.0353421795179258,0.049629436600088894,1.1278774607506676,1.5318303026561217,0.0,0.0,gps_range_bearing_altitude,0.0,6.0
1.0,35.0,0.5187324541288899,6.0,0.01369357512789085,-0.0607018384538236,,,0.0607018384538236,0.0,0.0,barometer_altitude,0.0,6.0
