altitude_m,ax,ay,az,bax_true,bay_true,baz_true,bias_true_m,gx,gy,gz,is_dropout,is_outlier,kind,latency_s,measurement_time_s,sensor,time_s,valid,vx,vy,vz,x,y,z
,0.12695495567390422,0.29996665693526803,-0.018317542906582152,0.035,-0.025,0.02,,0.001991920903427352,5.983782152077223e-05,0.0016961492642383609,0.0,0.0,inertial,,0.0,imu,0.0,1.0,,,,,,
,,,,,,,,,,,0.0,0.0,position_velocity,0.0,0.0,gps,0.0,1.0,18.302417947220956,1.4848522545541094,0.6643271458105005,3.2638654405103207,1.6288009759883597,123.34520930859486
119.86133631212465,,,,,,,0.0,,,,0.0,0.0,altitude,,0.0,barometer,0.0,1.0,,,,,,
,0.15716201529945323,0.24246874387591702,-0.04054783516697902,0.035020710582094224,-0.024976255978665023,0.019976693477099974,,0.0009597323648906146,0.0024503037052044704,0.021565056858172355,0.0,0.0,inertial,,0.05,imu,0.05,1.0,,,,,,
,0.16271409912054513,0.30520718409100384,-0.0641680654822001,0.03498235722168121,-0.024941346661422194,0.020155300019536016,,-0.002280875492255402,-0.0010757008131815752,0.022146637314141012,0.0,0.0,inertial,,0.1,imu,0.1,1.0,,,,,,
,0.20117215617043985,0.25921653243824,-0.044445736735384545,0.035095630697106334,-0.02502173050982493,0.02040512711988954,,0.0012861604541556022,0.0033494981300610325,0.020607801718796778,0.0,0.0,inertial,,0.15,imu,0.15,1.0,,,,,,
,0.15436473941035217,0.32252137634806055,-0.016692886854769197,0.035145345406341705,-0.025047769715059908,0.020352864301094988,,0.0004198702878402661,-0.00014816032124497335,0.02235705792652673,0.0,0.0,inertial,,0.2,imu,0.2,1.0,,,,,,
119.18367262134754,,,,,,,-0.0009442858146492853,,,,0.0,0.0,altitude,,0.2,barometer,0.2,1.0,,,,,,
,0.1597063037958737,0.3001378400669241,-0.0513938786590384,0.03516875427525319,-0.02485852680723599,0.020354468410556777,,0.004535643287973411,0.0031806385014449814,0.02064460318840826,0.0,0.0,inertial,,0.25,imu,0.25,1.0,,,,,,
,0.24270569722922763,0.2853654889091026,-0.03081994368302446,0.03514169790270081,-0.024809393034108222,0.02045275303210658,,-0.0017207813786590826,-0.0004167522304521326,0.021325782098069613,0.0,0.0,inertial,,0.3,imu,0.3,1.0,,,,,,
,0.15718779725086515,0.3290830658076595,-0.0312996659184635,0.034845827362973834,-0.024820009368709775,0.020037211429666316,,-0.0007816898921452458,0.0057466390238092935,0.02162170911799286,0.0,0.0,inertial,,0.35,imu,0.35,1.0,,,,,,
,0.1779100965978738,0.2311986486616449,0.015544787325347519,0.03504635378170711,-0.024981121969472685,0.019930668344577098,,0.003832954969161593,-0.0006666955163509936,0.020173828357602418,0.0,0.0,inertial,,0.4,imu,0.4,1.0,,,,,,
121.39568676711085,,,,,,,-0.0005790881569560943,,,,0.0,0.0,altitude,,0.4,barometer,0.4,1.0,,,,,,
,0.1543090712149546,0.3467572209068821,-0.0022121517308041592,0.034778328537015506,-0.024792563936148575,0.020090936181457873,,0.0007674185114425425,-0.000686932877205258,0.022655925498309894,0.0,0.0,inertial,,0.45,imu,0.45,1.0,,,,,,
,0.20157444902506502,0.2844077786409289,0.024906935238564208,0.034717916483504294,-0.0248480612766235,0.019973015355436417,,-0.0021601731879913543,0.001041380911669996,0.019141572068400753,0.0,0.0,inertial,,0.5,imu,0.5,1.0,,,,,,
,0.20200002903461312,0.3056615917265436,0.05971880375321881,0.03473622399514541,-0.024995808204259753,0.019971732453273782,,0.0006965103775558852,9.418934003636844e-05,0.0210693250443542,0.0,0.0,inertial,,0.55,imu,0.55,1.0,,,,,,
,0.20240167969102202,0.3325203226589232,0.07170319514087613,0.03460109421466438,-0.024860621460359174,0.01998475274028171,,-0.0034151017286130994,0.003344216373120798,0.018716538594423165,0.0,0.0,inertial,,0.6,imu,0.6,1.0,,,,,,
119.81149229025982,,,,,,,-0.0015330915090402734,,,,0.0,0.0,altitude,,0.6,barometer,0.6,1.0,,,,,,
,0.1793689170994145,0.23854256759476525,-0.12426729126181967,0.03431843383740055,-0.024858736282487352,0.019673448157963683,,-0.002837970163959808,-0.0016465784428594662,0.020824319634870112,0.0,0.0,inertial,,0.65,imu,0.65,1.0,,,,,,
,0.22372673824102954,0.32806357660583096,-0.045880520185586464,0.034277203132400506,-0.025087266452682094,0.019753366082441326,,-0.003181427762650283,0.0009205781567552927,0.020311746356404297,0.0,0.0,inertial,,0.7,imu,0.7,1.0,,,,,,
,0.2377944784527225,0.34246095400044746,0.0684389309171178,0.0343648059491723,-0.02508738251793026,0.01996565001405825,,0.001575001718325017,0.00035547441279480744,0.017525547980462308,0.0,0.0,inertial,,0.75,imu,0.75,1.0,,,,,,
,0.23467093386295204,0.33038622901581066,0.0047799240371286696,0.03429250739008857,-0.02506854021845312,0.019837712654385123,,0.0017584489938596189,-0.0008867733957670096,0.01644878762816229,0.0,0.0,inertial,,0.8,imu,0.8,1.0,,,,,,
119.86151148673625,,,,,,,-0.004057848662697063,,,,0.0,0.0,altitude,,0.8,barometer,0.8,1.0,,,,,,
,0.15037448374271906,0.3427016148199123,-0.005294911919863816,0.03426099257719365,-0.024884378158401606,0.01969822109416828,,0.00014222594336820108,-0.003507511791999356,0.01826349586265828,0.0,0.0,inertial,,0.85,imu,0.85,1.0,,,,,,
,0.2219882460638608,0.27949808224568945,0.10560503622555503,0.03412204439850574,-0.025062708769033704,0.019689044532209765,,0.0006244946578830119,0.0010787866289116521,0.02159154893756016,0.0,0.0,inertial,,0.9,imu,0.9,1.0,,,,,,
